file,shots,input,counts
qft_9,1024,'000011000x',"{'000011100': 287, '000010100': 283, '000011110': 104, '000010110': 147, '000010000': 30, '000011000': 53, '000010001': 4, '000010010': 23, '000010111': 15, '000011111': 11, '000011101': 21, '000010101': 24, '000011010': 16, '000011001': 2, '000011011': 4}"
qft_9,1024,'000011001x',"{'000011101': 279, '000010101': 281, '000011111': 109, '000010100': 26, '000011100': 29, '000010110': 13, '000010111': 149, '000010001': 32, '000011001': 51, '000010011': 21, '000011110': 6, '000011000': 4, '000011011': 19, '000010000': 2, '000010010': 2, '000011010': 1}"
qft_9,1024,'000011010x',"{'000011110': 60, '000011101': 114, '000010101': 125, '000011111': 216, '000010100': 30, '000011100': 33, '000010111': 256, '000010001': 10, '000011010': 16, '000010011': 37, '000011011': 40, '000010110': 58, '000011001': 15, '000010010': 8, '000011000': 4, '000010000': 2}"
qft_9,1024,'000011011x',"{'000011110': 222, '000011100': 120, '000010100': 117, '000010110': 232, '000010000': 9, '000011010': 46, '000011101': 27, '000011111': 54, '000010111': 82, '000010010': 37, '000010011': 8, '000010001': 3, '000011001': 6, '000011000': 13, '000010101': 38, '000011011': 10}"
qft_9,1024,'000011100x',"{'000011010': 263, '000010010': 256, '000011011': 161, '000010011': 172, '000010001': 5, '000011110': 34, '000010110': 52, '000010111': 34, '000011111': 24, '000011101': 2, '000010101': 3, '000011000': 7, '000011001': 5, '000010000': 3, '000010100': 1, '000011100': 2}"
qft_9,1024,'000011101x',"{'000011011': 237, '000011010': 187, '000010010': 175, '000010011': 253, '000010001': 6, '000011110': 24, '000010110': 36, '000010111': 50, '000011111': 34, '000011101': 3, '000010101': 4, '000011000': 5, '000011001': 7, '000010000': 2, '000011100': 1}"
qft_9,1024,'000011110x',"{'000011001': 416, '000010001': 411, '000011101': 60, '000010101': 86, '000010011': 23, '000011011': 16, '000011000': 4, '000010000': 2, '000011111': 1, '000010111': 4, '000011100': 1}"
qft_9,1024,'000011111x',"{'000011000': 414, '000010000': 410, '000011100': 60, '000010100': 86, '000010010': 23, '000011010': 16, '000010001': 3, '000011001': 6, '000011110': 1, '000010110': 4, '000011101': 1}"
qft_9,1024,'000100000x',"{'000110000': 413, '000100000': 410, '000111000': 60, '000101000': 86, '000100100': 23, '000110100': 16, '000100010': 3, '000110010': 6, '000111100': 1, '000101100': 4, '000110001': 1, '000111010': 1}"
qft_9,1024,'000100001x',"{'000110001': 412, '000100001': 408, '000111001': 60, '000101001': 86, '000100101': 23, '000110101': 16, '000100000': 2, '000100011': 3, '000110011': 6, '000111101': 1, '000101101': 4, '000110000': 2, '000111011': 1}"
qft_9,1024,'000100010x',"{'000110011': 215, '000110010': 201, '000100010': 187, '000100011': 224, '000111010': 27, '000101010': 40, '000100111': 10, '000110111': 13, '000100110': 13, '000101011': 46, '000111011': 33, '000110000': 3, '000100000': 2, '000111111': 1, '000110001': 1, '000101111': 3, '000111001': 1, '000110110': 3, '000101110': 1}"
qft_9,1024,'000100011x',"{'000110011': 181, '000110010': 235, '000100010': 232, '000100011': 179, '000111010': 31, '000101010': 51, '000100111': 9, '000110111': 10, '000100110': 14, '000101011': 35, '000111011': 29, '000110000': 4, '000100000': 2, '000110110': 6, '000111111': 1, '000101111': 3, '000111001': 1, '000101110': 1}"
qft_9,1024,'000100100x',"{'000110110': 192, '000110100': 159, '000100100': 135, '000110111': 45, '000100110': 198, '000100111': 55, '000100010': 5, '000111100': 21, '000101100': 27, '000101110': 37, '000101111': 13, '000110101': 28, '000111111': 7, '000111010': 3, '000100101': 40, '000101010': 3, '000110000': 5, '000111110': 27, '000110010': 4, '000101011': 1, '000100000': 2, '000101101': 9, '000100011': 1, '000111101': 3, '000111000': 1, '000110011': 3}"
qft_9,1024,'000100101x',"{'000110111': 198, '000110101': 146, '000100101': 153, '000100111': 202, '000100011': 5, '000110100': 41, '000110110': 39, '000111101': 18, '000101101': 31, '000100100': 22, '000101110': 11, '000101111': 39, '000100110': 51, '000101100': 5, '000111111': 30, '000111100': 6, '000111011': 2, '000101011': 4, '000110001': 3, '000110011': 5, '000100000': 2, '000111110': 4, '000110010': 2, '000111001': 1, '000110000': 2, '000100010': 1, '000111010': 1}"
qft_9,1024,'000100110x',"{'000110101': 223, '000100101': 236, '000110111': 145, '000100111': 154, '000100110': 18, '000100011': 5, '000110100': 40, '000111101': 30, '000101101': 48, '000110110': 16, '000100100': 20, '000101111': 28, '000111111': 20, '000111100': 4, '000101110': 6, '000111011': 2, '000101011': 2, '000110001': 5, '000101100': 4, '000110011': 5, '000100000': 2, '000101010': 1, '000111110': 4, '000101001': 1, '000111001': 2, '000110000': 2, '000100001': 1}"
qft_9,1024,'000100111x',"{'000110101': 31, '000110100': 232, '000100100': 234, '000110110': 141, '000100110': 146, '000100010': 4, '000111100': 31, '000101100': 48, '000100111': 26, '000110111': 20, '000101110': 30, '000111110': 23, '000100101': 22, '000111010': 2, '000101010': 3, '000110000': 7, '000110010': 4, '000100000': 3, '000100011': 1, '000111101': 3, '000101101': 4, '000111111': 1, '000101111': 4, '000101001': 1, '000111000': 2, '000110011': 1}"
qft_9,1024,'000101000x',"{'000111100': 205, '000111000': 116, '000101000': 109, '000101100': 215, '000100000': 9, '000110100': 44, '000111010': 24, '000111110': 51, '000101110': 78, '000100100': 36, '000100110': 8, '000101101': 17, '000111101': 17, '000100010': 3, '000110010': 6, '000111111': 3, '000111011': 3, '000110001': 1, '000111001': 4, '000110000': 12, '000101010': 38, '000101001': 8, '000110110': 9, '000101111': 4, '000110101': 2, '000100101': 1, '000110111': 1}"
qft_9,1024,'000101001x',"{'000111101': 213, '000111001': 112, '000101001': 110, '000111000': 8, '000101101': 214, '000100001': 7, '000110100': 6, '000111011': 25, '000111111': 51, '000101111': 79, '000100101': 36, '000100111': 7, '000110101': 40, '000100011': 3, '000101100': 18, '000101110': 3, '000101000': 7, '000111110': 3, '000110011': 6, '000110001': 11, '000101011': 35, '000100110': 1, '000100000': 2, '000110111': 10, '000111100': 9, '000111010': 2, '000101010': 3, '000110000': 2, '000100100': 1}"
qft_9,1024,'000101010x',"{'000111101': 47, '000111011': 82, '000101011': 87, '000111111': 145, '000101001': 20, '000111000': 12, '000101111': 199, '000101110': 57, '000100011': 9, '000110100': 8, '000111110': 71, '000100111': 29, '000110101': 8, '000101010': 38, '000100110': 8, '000110110': 17, '000101100': 20, '000111010': 32, '000101000': 10, '000111001': 21, '000110011': 12, '000101101': 38, '000111100': 13, '000100101': 6, '000110001': 2, '000110111': 23, '000100000': 2, '000110010': 3, '000110000': 2, '000100100': 2, '000100010': 1}"
qft_9,1024,'000101011x',"{'000111101': 16, '000111010': 89, '000111100': 44, '000101010': 90, '000111110': 168, '000101000': 25, '000111000': 27, '000101110': 177, '000100010': 7, '000110100': 15, '000111011': 25, '000111111': 48, '000101111': 79, '000100110': 30, '000100111': 7, '000101001': 5, '000100011': 3, '000110110': 30, '000101100': 46, '000111001': 6, '000110011': 6, '000100100': 7, '000110010': 9, '000110000': 4, '000101011': 35, '000100000': 2, '000110111': 10, '000101101': 12, '000110101': 1, '000100101': 1}"
qft_9,1024,'000101100x',"{'000111010': 180, '000101010': 192, '000111110': 74, '000101001': 10, '000111000': 22, '000101100': 11, '000101011': 89, '000101110': 98, '000100010': 18, '000110010': 31, '000111011': 99, '000100011': 14, '000100110': 17, '000101111': 51, '000110011': 20, '000101000': 16, '000111111': 35, '000111001': 7, '000111101': 3, '000100111': 4, '000110000': 4, '000110110': 11, '000100000': 2, '000110111': 8, '000111100': 3, '000101101': 2, '000100101': 1, '000100100': 1, '000110100': 1}"
qft_9,1024,'000101101x',"{'000111011': 173, '000111010': 106, '000101010': 114, '000111110': 40, '000101001': 14, '000111000': 12, '000101101': 6, '000101011': 167, '000101110': 52, '000100010': 9, '000110011': 40, '000111111': 69, '000101111': 97, '000100011': 23, '000100111': 9, '000101000': 12, '000111001': 17, '000100110': 12, '000101100': 7, '000111101': 3, '000110010': 11, '000110001': 2, '000110110': 7, '000100000': 2, '000110111': 12, '000111100': 3, '000110000': 2, '000100101': 2, '000110101': 1}"
qft_9,1024,'000101110x',"{'000111001': 279, '000101001': 276, '000111101': 101, '000111000': 8, '000101101': 147, '000100001': 28, '000110001': 51, '000100011': 4, '000100101': 23, '000101111': 15, '000101000': 7, '000111111': 11, '000111011': 21, '000101011': 24, '000110101': 16, '000100000': 2, '000110011': 2, '000110111': 4, '000111100': 3, '000110000': 2}"
qft_9,1024,'000101111x',"{'000111000': 284, '000101000': 279, '000111100': 102, '000101100': 145, '000100000': 30, '000110000': 53, '000100010': 4, '000100100': 23, '000101101': 2, '000101110': 14, '000111110': 11, '000111010': 21, '000101010': 24, '000101001': 4, '000110100': 15, '000110010': 2, '000110110': 4, '000111001': 3, '000101111': 1, '000110101': 1, '000111101': 2}"
qft_9,1024,'000110000x',"{'000111000': 284, '000101000': 279, '000111100': 102, '000101100': 145, '000100000': 30, '000110000': 53, '000100010': 4, '000100100': 23, '000101101': 2, '000101110': 14, '000111110': 11, '000111010': 21, '000101010': 24, '000101001': 4, '000110100': 15, '000110010': 2, '000110110': 4, '000111001': 3, '000101111': 1, '000110101': 1, '000111101': 2}"
qft_9,1024,'000110001x',"{'000111001': 279, '000101001': 276, '000111101': 101, '000111000': 8, '000101101': 147, '000100001': 28, '000110001': 51, '000100011': 4, '000100101': 23, '000101111': 15, '000101000': 7, '000111111': 11, '000111011': 21, '000101011': 24, '000110101': 16, '000100000': 2, '000110011': 2, '000110111': 4, '000111100': 3, '000110000': 2}"
qft_9,1024,'000110010x',"{'000111011': 173, '000111010': 106, '000101010': 114, '000111110': 40, '000101001': 14, '000111000': 12, '000101101': 6, '000101011': 167, '000101110': 52, '000100010': 9, '000110011': 40, '000111111': 69, '000101111': 97, '000100011': 23, '000100111': 9, '000101000': 12, '000111001': 17, '000100110': 12, '000101100': 7, '000111101': 3, '000110010': 11, '000110001': 2, '000110110': 7, '000100000': 2, '000110111': 12, '000111100': 3, '000110000': 2, '000100101': 2, '000110101': 1}"
qft_9,1024,'000110011x',"{'000111010': 180, '000101010': 192, '000111110': 74, '000101001': 10, '000111000': 22, '000101100': 11, '000101011': 89, '000101110': 98, '000100010': 18, '000110010': 31, '000111011': 99, '000100011': 14, '000100110': 17, '000101111': 51, '000110011': 20, '000101000': 16, '000111111': 35, '000111001': 7, '000111101': 3, '000100111': 4, '000110000': 4, '000110110': 11, '000100000': 2, '000110111': 8, '000111100': 3, '000101101': 2, '000100101': 1, '000100100': 1, '000110100': 1}"
qft_9,1024,'000110100x',"{'000111101': 16, '000111010': 89, '000111100': 44, '000101010': 90, '000111110': 168, '000101000': 25, '000111000': 27, '000101110': 177, '000100010': 7, '000110100': 15, '000111011': 25, '000111111': 48, '000101111': 79, '000100110': 30, '000100111': 7, '000101001': 5, '000100011': 3, '000110110': 30, '000101100': 46, '000111001': 6, '000110011': 6, '000100100': 7, '000110010': 9, '000110000': 4, '000101011': 35, '000100000': 2, '000110111': 10, '000101101': 12, '000110101': 1, '000100101': 1}"
qft_9,1024,'000110101x',"{'000111101': 47, '000111011': 82, '000101011': 87, '000111111': 145, '000101001': 20, '000111000': 12, '000101111': 199, '000101110': 57, '000100011': 9, '000110100': 8, '000111110': 71, '000100111': 29, '000110101': 8, '000101010': 38, '000100110': 8, '000110110': 17, '000101100': 20, '000111010': 32, '000101000': 10, '000111001': 21, '000110011': 12, '000101101': 38, '000111100': 13, '000100101': 6, '000110001': 2, '000110111': 23, '000100000': 2, '000110010': 3, '000110000': 2, '000100100': 2, '000100010': 1}"
qft_9,1024,'000110110x',"{'000111101': 213, '000111001': 112, '000101001': 110, '000111000': 8, '000101101': 214, '000100001': 7, '000110100': 6, '000111011': 25, '000111111': 51, '000101111': 79, '000100101': 36, '000100111': 7, '000110101': 40, '000100011': 3, '000101100': 18, '000101110': 3, '000101000': 7, '000111110': 3, '000110011': 6, '000110001': 11, '000101011': 35, '000100110': 1, '000100000': 2, '000110111': 10, '000111100': 9, '000111010': 2, '000101010': 3, '000110000': 2, '000100100': 1}"
qft_9,1024,'000110111x',"{'000111100': 205, '000111000': 116, '000101000': 109, '000101100': 215, '000100000': 9, '000110100': 44, '000111010': 24, '000111110': 51, '000101110': 78, '000100100': 36, '000100110': 8, '000101101': 17, '000111101': 17, '000100010': 3, '000110010': 6, '000111111': 3, '000111011': 3, '000110001': 1, '000111001': 4, '000110000': 12, '000101010': 38, '000101001': 8, '000110110': 9, '000101111': 4, '000110101': 2, '000100101': 1, '000110111': 1}"
qft_9,1024,'000111000x',"{'000110101': 31, '000110100': 232, '000100100': 234, '000110110': 141, '000100110': 146, '000100010': 4, '000111100': 31, '000101100': 48, '000100111': 26, '000110111': 20, '000101110': 30, '000111110': 23, '000100101': 22, '000111010': 2, '000101010': 3, '000110000': 7, '000110010': 4, '000100000': 3, '000100011': 1, '000111101': 3, '000101101': 4, '000111111': 1, '000101111': 4, '000101001': 1, '000111000': 2, '000110011': 1}"
qft_9,1024,'000111001x',"{'000110101': 223, '000100101': 236, '000110111': 145, '000100111': 154, '000100110': 18, '000100011': 5, '000110100': 40, '000111101': 30, '000101101': 48, '000110110': 16, '000100100': 20, '000101111': 28, '000111111': 20, '000111100': 4, '000101110': 6, '000111011': 2, '000101011': 2, '000110001': 5, '000101100': 4, '000110011': 5, '000100000': 2, '000101010': 1, '000111110': 4, '000101001': 1, '000111001': 2, '000110000': 2, '000100001': 1}"
qft_9,1024,'000111010x',"{'000110111': 198, '000110101': 146, '000100101': 153, '000100111': 202, '000100011': 5, '000110100': 41, '000110110': 39, '000111101': 18, '000101101': 31, '000100100': 22, '000101110': 11, '000101111': 39, '000100110': 51, '000101100': 5, '000111111': 30, '000111100': 6, '000111011': 2, '000101011': 4, '000110001': 3, '000110011': 5, '000100000': 2, '000111110': 4, '000110010': 2, '000111001': 1, '000110000': 2, '000100010': 1, '000111010': 1}"
qft_9,1024,'000111011x',"{'000110110': 192, '000110100': 159, '000100100': 135, '000110111': 45, '000100110': 198, '000100111': 55, '000100010': 5, '000111100': 21, '000101100': 27, '000101110': 37, '000101111': 13, '000110101': 28, '000111111': 7, '000111010': 3, '000100101': 40, '000101010': 3, '000110000': 5, '000111110': 27, '000110010': 4, '000101011': 1, '000100000': 2, '000101101': 9, '000100011': 1, '000111101': 3, '000111000': 1, '000110011': 3}"
qft_9,1024,'000111100x',"{'000110011': 181, '000110010': 235, '000100010': 232, '000100011': 179, '000111010': 31, '000101010': 51, '000100111': 9, '000110111': 10, '000100110': 14, '000101011': 35, '000111011': 29, '000110000': 4, '000100000': 2, '000110110': 6, '000111111': 1, '000101111': 3, '000111001': 1, '000101110': 1}"
qft_9,1024,'000111101x',"{'000110011': 215, '000110010': 201, '000100010': 187, '000100011': 224, '000111010': 27, '000101010': 40, '000100111': 10, '000110111': 13, '000100110': 13, '000101011': 46, '000111011': 33, '000110000': 3, '000100000': 2, '000111111': 1, '000110001': 1, '000101111': 3, '000111001': 1, '000110110': 3, '000101110': 1}"
qft_9,1024,'000111110x',"{'000110001': 412, '000100001': 408, '000111001': 60, '000101001': 86, '000100101': 23, '000110101': 16, '000100000': 2, '000100011': 3, '000110011': 6, '000111101': 1, '000101101': 4, '000110000': 2, '000111011': 1}"
qft_9,1024,'000111111x',"{'000110000': 413, '000100000': 410, '000111000': 60, '000101000': 86, '000100100': 23, '000110100': 16, '000100010': 3, '000110010': 6, '000111100': 1, '000101100': 4, '000110001': 1, '000111010': 1}"
qft_9,1024,'001000000x',"{'001100000': 413, '001000000': 410, '001110000': 60, '001010000': 86, '001001000': 23, '001101000': 16, '001000100': 3, '001100100': 6, '001111000': 1, '001011000': 4, '001100010': 1, '001110100': 1}"
qft_9,1024,'001000001x',"{'001100001': 412, '001000001': 410, '001110001': 60, '001010001': 86, '001001001': 23, '001101001': 16, '001000101': 3, '001100101': 6, '001111001': 1, '001011001': 4, '001100011': 1, '001100000': 1, '001110101': 1}"
qft_9,1024,'001000010x',"{'001100011': 204, '001100010': 208, '001000010': 195, '001000011': 213, '001110010': 28, '001010010': 41, '001001011': 9, '001101011': 12, '001001010': 14, '001010011': 45, '001110011': 32, '001000001': 2, '001000111': 3, '001100111': 4, '001101010': 4, '001111011': 1, '001100110': 2, '001011011': 3, '001100001': 1, '001011010': 1, '001100000': 1, '001110110': 1}"
qft_9,1024,'001000011x',"{'001100011': 186, '001100010': 226, '001000010': 222, '001000011': 186, '001110010': 30, '001010010': 48, '001001011': 9, '001101011': 10, '001001010': 14, '001010011': 38, '001110011': 30, '001000001': 2, '001000110': 1, '001100111': 4, '001000111': 2, '001101010': 6, '001111011': 1, '001100110': 2, '001011011': 3, '001100001': 1, '001011010': 1, '001100000': 1, '001110110': 1}"
qft_9,1024,'001000100x',"{'001100110': 181, '001100100': 174, '001000100': 151, '001100111': 34, '001000110': 184, '001000111': 40, '001100101': 27, '001110100': 24, '001010100': 32, '001001110': 6, '001101111': 2, '001001100': 9, '001010110': 35, '001010111': 11, '001110111': 7, '001000101': 36, '001100001': 1, '001110110': 26, '001000000': 2, '001010101': 8, '001001101': 4, '001001111': 4, '001101110': 11, '001110101': 3, '001111110': 1, '001100010': 1, '001011110': 2, '001110011': 1, '001011111': 1, '001101100': 3, '001100000': 2, '001011100': 1}"
qft_9,1024,'001000101x',"{'001100111': 184, '001100101': 170, '001000101': 169, '001000111': 181, '001000100': 18, '001100100': 31, '001110101': 22, '001010101': 33, '001001111': 9, '001101111': 10, '001001101': 11, '001100110': 31, '001010110': 10, '001010111': 36, '001000110': 43, '001110111': 30, '001110100': 5, '001010100': 7, '001100001': 2, '001000001': 2, '001101110': 3, '001111111': 1, '001100010': 1, '001011111': 3, '001110011': 1, '001001100': 2, '001110110': 3, '001101100': 2, '001101101': 1, '001011101': 1, '001100000': 1, '001001110': 1}"
qft_9,1024,'001000110x',"{'001100111': 156, '001100101': 204, '001000101': 214, '001000111': 156, '001000100': 18, '001100100': 31, '001110101': 26, '001010101': 45, '001100110': 25, '001001111': 9, '001101111': 9, '001001101': 12, '001010111': 31, '001110111': 24, '001110100': 5, '001000110': 23, '001010100': 6, '001100001': 3, '001000001': 2, '001101101': 4, '001110110': 5, '001111111': 1, '001010110': 4, '001011111': 3, '001110011': 1, '001001100': 2, '001101100': 2, '001011101': 1, '001101110': 1, '001100000': 1}"
qft_9,1024,'001000111x',"{'001100110': 155, '001100100': 210, '001000100': 202, '001100111': 26, '001000110': 152, '001000111': 27, '001110100': 28, '001010100': 43, '001001110': 6, '001101111': 2, '001001100': 14, '001100101': 25, '001010110': 29, '001000101': 30, '001110111': 6, '001100000': 4, '001110110': 23, '001000000': 2, '001110101': 3, '001001111': 3, '001101110': 8, '001101100': 4, '001010101': 8, '001111110': 1, '001011110': 3, '001110011': 1, '001010111': 6, '001011100': 1, '001101101': 2}"
qft_9,1024,'001001000x',"{'001101100': 187, '001101000': 150, '001001000': 128, '001101110': 41, '001001101': 10, '001001100': 188, '001001110': 49, '001000100': 4, '001111000': 19, '001011000': 25, '001001001': 7, '001001111': 6, '001101111': 4, '001011100': 35, '001011110': 12, '001101010': 27, '001111110': 7, '001011101': 2, '001101001': 9, '001110100': 3, '001001010': 39, '001010100': 3, '001101101': 5, '001100000': 4, '001111101': 2, '001011001': 2, '001100100': 4, '001010110': 1, '001000000': 2, '001111100': 25, '001011010': 9, '001111001': 2, '001001011': 1, '001000110': 1, '001111010': 2, '001110000': 1, '001011111': 1, '001101011': 1, '001100001': 1, '001100110': 3, '001111011': 1, '001000101': 1}"
qft_9,1024,'001001001x',"{'001101101': 184, '001101001': 152, '001001001': 130, '001101111': 43, '001001101': 187, '001001111': 53, '001000101': 5, '001101100': 8, '001111001': 21, '001011001': 25, '001001000': 5, '001011100': 1, '001011101': 36, '001011111': 12, '001001110': 2, '001101011': 26, '001111111': 7, '001101010': 2, '001101000': 7, '001110101': 3, '001101110': 2, '001001011': 37, '001010101': 3, '001100001': 4, '001001100': 11, '001111101': 27, '001100101': 3, '001010111': 1, '001000001': 2, '001011011': 8, '001000111': 1, '001001010': 3, '001111011': 3, '001011010': 1, '001110001': 1, '001011000': 2, '001100111': 2, '001100100': 1, '001100110': 1, '001100000': 1, '001011110': 1}"
qft_9,1024,'001001010x',"{'001101110': 55, '001101011': 110, '001001011': 113, '001101111': 143, '001101010': 36, '001001111': 153, '001001110': 49, '001000111': 5, '001101000': 13, '001101100': 12, '001111011': 14, '001011011': 28, '001001010': 40, '001101001': 28, '001001001': 17, '001001000': 5, '001101101': 27, '001011100': 2, '001011111': 28, '001001101': 37, '001011001': 3, '001111111': 20, '001111010': 4, '001111001': 6, '001011110': 11, '001110111': 2, '001010111': 2, '001100010': 2, '001001100': 14, '001100111': 5, '001000001': 2, '001111101': 4, '001010110': 2, '001100101': 1, '001111110': 10, '001011101': 9, '001011010': 3, '001110011': 1, '001011000': 2, '001100011': 1, '001100001': 1, '001100100': 1, '001000101': 1, '001100000': 1, '001110101': 1}"
qft_9,1024,'001001011x',"{'001101110': 147, '001101010': 105, '001001010': 104, '001101111': 51, '001001111': 72, '001001110': 130, '001000110': 3, '001101000': 29, '001101100': 29, '001111010': 13, '001011010': 18, '001001011': 49, '001001001': 8, '001001000': 14, '001011100': 8, '001011110': 24, '001001100': 40, '001011111': 15, '001101011': 41, '001011001': 1, '001111111': 10, '001111000': 2, '001101101': 10, '001110110': 2, '001010110': 3, '001100010': 2, '001011000': 4, '001001101': 11, '001011011': 13, '001100110': 2, '001010111': 1, '001000000': 2, '001111101': 2, '001111011': 5, '001100101': 1, '001111001': 4, '001000111': 2, '001111110': 20, '001101001': 12, '001011101': 3, '001110010': 1, '001100011': 1, '001100111': 3, '001100001': 1, '001111100': 2, '001100100': 1, '001000100': 1, '001100000': 1, '001110100': 1}"
qft_9,1024,'001001100x',"{'001101011': 69, '001101010': 154, '001001010': 165, '001101111': 48, '001001110': 95, '001001100': 14, '001001111': 59, '001000110': 3, '001101000': 23, '001101110': 97, '001111010': 20, '001011010': 32, '001101100': 10, '001001001': 7, '001001000': 13, '001011011': 16, '001101001': 17, '001011110': 14, '001001011': 71, '001011111': 14, '001111111': 8, '001111000': 2, '001011100': 5, '001110110': 2, '001010110': 1, '001100010': 4, '001011000': 3, '001111110': 12, '001100110': 2, '001010111': 1, '001000000': 2, '001111011': 10, '001010100': 1, '001100011': 1, '001101101': 6, '001000111': 2, '001111101': 1, '001011001': 1, '001111100': 3, '001010011': 1, '001110010': 1, '001001101': 4, '001011101': 1, '001100111': 3, '001100001': 1, '001111001': 2, '001000011': 1, '001100000': 1, '001110011': 1}"
qft_9,1024,'001001101x',"{'001101011': 148, '001001011': 154, '001101111': 84, '001001010': 82, '001101010': 75, '001001111': 111, '001001101': 13, '001000111': 3, '001101000': 15, '001101110': 61, '001111010': 13, '001011011': 33, '001101001': 25, '001011010': 15, '001101101': 11, '001001110': 43, '001001001': 14, '001001000': 6, '001011111': 22, '001011110': 6, '001111111': 14, '001101100': 5, '001111001': 4, '001011100': 1, '001110111': 1, '001010110': 1, '001100010': 2, '001011001': 2, '001011101': 5, '001100110': 2, '001010111': 1, '001000001': 2, '001111011': 17, '001010100': 1, '001100011': 3, '001111101': 2, '001111110': 6, '001111100': 2, '001010011': 1, '001110010': 1, '001000110': 2, '001110110': 1, '001011000': 2, '001001100': 5, '001100111': 3, '001100001': 1, '001000011': 1, '001100000': 1, '001110011': 1}"
