Operator,Position,Gate,New_gate,New_params,New_qubits,Score,Evaluation,Timestamp,Total_exec_time,Total_evaluations,First_score,Overall_improvement,Overall_improvement_percent
Add,4,,cry,[-0.048350846936891845],"(Qubit(QuantumRegister(3, 'q'), 1), Qubit(QuantumRegister(3, 'q'), 2))",6.984250984251476,38001,1769705180.3842807,7200.338375091553,585011,7.0,0.01574901574852383,0.22498593926462618
Add,4,,ryy,[0.04895323228847115],"(Qubit(QuantumRegister(3, 'q'), 1), Qubit(QuantumRegister(3, 'q'), 0))",6.984250984251476,119999,1769706160.264461,7200.338375091553,585011,7.0,0.01574901574852383,0.22498593926462618
Add,4,,rx,[0.049228075123810555],"(Qubit(QuantumRegister(3, 'q'), 1),)",6.984250984251476,138001,1769706377.8327968,7200.338375091553,585011,7.0,0.01574901574852383,0.22498593926462618
Add,4,,ryy,[0.04984648468049979],"(Qubit(QuantumRegister(3, 'q'), 2), Qubit(QuantumRegister(3, 'q'), 1))",6.984250984251476,41998,1769705210.2111828,7200.338375091553,585011,7.0,0.01574901574852383,0.22498593926462618
Add,0,x,rxx,[-3.0901883183435546],"(Qubit(QuantumRegister(3, 'q'), 0), Qubit(QuantumRegister(3, 'q'), 2))",6.984250984251476,50996,1769705363.3835328,7200.338375091553,585011,7.0,0.01574901574852383,0.22498593926462618
Replace,2,ccx,crx,[3.0934115761775214],"(Qubit(QuantumRegister(3, 'q'), 2), Qubit(QuantumRegister(3, 'q'), 0))",6.984250984251476,89990,1769705821.4538076,7200.338375091553,585011,7.0,0.01574901574852383,0.22498593926462618
Replace,1,x,ryy,[3.090405882327703],"(Qubit(QuantumRegister(3, 'q'), 0), Qubit(QuantumRegister(3, 'q'), 2))",6.984250984251476,54992,1769705392.6380548,7200.338375091553,585011,7.0,0.01574901574852383,0.22498593926462618
Replace,2,ccx,cry,[0.050973835048746974],"(Qubit(QuantumRegister(3, 'q'), 1), Qubit(QuantumRegister(3, 'q'), 2))",6.984250984251476,154003,1769706626.5690234,7200.338375091553,585011,7.0,0.01574901574852383,0.22498593926462618
Add,5,,cry,[-3.0935420803738944],"(Qubit(QuantumRegister(3, 'q'), 2), Qubit(QuantumRegister(3, 'q'), 1))",6.984250984251476,96994,1769705932.8887093,7200.338375091553,585011,7.0,0.01574901574852383,0.22498593926462618
Add,2,ccx,rxx,[0.05157680194842884],"(Qubit(QuantumRegister(3, 'q'), 1), Qubit(QuantumRegister(3, 'q'), 2))",6.984250984251476,143001,1769706454.7597816,7200.338375091553,585011,7.0,0.01574901574852383,0.22498593926462618
Replace,2,ccx,r,"[-0.04967672691203573, -1.8932019050487507]","(Qubit(QuantumRegister(3, 'q'), 2),)",6.984250984251476,84988,1769705758.4108422,7200.338375091553,585011,7.0,0.01574901574852383,0.22498593926462618
Add,4,,rzx,[-3.089634874168718],"(Qubit(QuantumRegister(3, 'q'), 1), Qubit(QuantumRegister(3, 'q'), 0))",6.984250984251476,70987,1769705566.5607119,7200.338375091553,585011,7.0,0.01574901574852383,0.22498593926462618
Replace,2,ccx,rzx,[0.050730337662830305],"(Qubit(QuantumRegister(3, 'q'), 0), Qubit(QuantumRegister(3, 'q'), 1))",6.984250984251476,64986,1769705531.7906919,7200.338375091553,585011,7.0,0.01574901574852383,0.22498593926462618
Add,2,ccx,ry,[3.092803673895827],"(Qubit(QuantumRegister(3, 'q'), 2),)",6.984250984251476,59989,1769705490.1210525,7200.338375091553,585011,7.0,0.01574901574852383,0.22498593926462618
Add,0,x,rxx,[-3.0885482785712646],"(Qubit(QuantumRegister(3, 'q'), 2), Qubit(QuantumRegister(3, 'q'), 0))",6.984250984251476,15013,1769704838.7566113,7200.338375091553,585011,7.0,0.01574901574852383,0.22498593926462618
Add,4,,cry,[-3.0915938718096294],"(Qubit(QuantumRegister(3, 'q'), 0), Qubit(QuantumRegister(3, 'q'), 1))",6.984250984251476,13014,1769704816.4531558,7200.338375091553,585011,7.0,0.01574901574852383,0.22498593926462618
Replace,2,ccx,ry,[-3.0887440215480306],"(Qubit(QuantumRegister(3, 'q'), 0),)",6.984250984251476,109991,1769706079.4520807,7200.338375091553,585011,7.0,0.01574901574852383,0.22498593926462618
Add,1,x,ryy,[0.04802516501437193],"(Qubit(QuantumRegister(3, 'q'), 1), Qubit(QuantumRegister(3, 'q'), 0))",6.984250984251476,46994,1769705312.8693094,7200.338375091553,585011,7.0,0.01574901574852383,0.22498593926462618
Add,4,,cry,[-0.05027517396380077],"(Qubit(QuantumRegister(3, 'q'), 0), Qubit(QuantumRegister(3, 'q'), 2))",6.984250984251476,65988,1769705541.2165852,7200.338375091553,585011,7.0,0.01574901574852383,0.22498593926462618
Replace,0,x,cry,[0.05083492749819385],"(Qubit(QuantumRegister(3, 'q'), 0), Qubit(QuantumRegister(3, 'q'), 1))",6.984250984251476,86990,1769705767.127969,7200.338375091553,585011,7.0,0.01574901574852383,0.22498593926462618
Add,4,,ryy,[-3.09348104214703],"(Qubit(QuantumRegister(3, 'q'), 1), Qubit(QuantumRegister(3, 'q'), 2))",6.984250984251476,132002,1769706330.228893,7200.338375091553,585011,7.0,0.01574901574852383,0.22498593926462618
Replace,1,x,rxx,[-0.05034293670671186],"(Qubit(QuantumRegister(3, 'q'), 2), Qubit(QuantumRegister(3, 'q'), 1))",6.984250984251476,42997,1769705221.8066194,7200.338375091553,585011,7.0,0.01574901574852383,0.22498593926462618
Replace,0,x,rzx,[-0.04853540348790286],"(Qubit(QuantumRegister(3, 'q'), 1), Qubit(QuantumRegister(3, 'q'), 0))",6.984250984251476,117997,1769706152.9666286,7200.338375091553,585011,7.0,0.01574901574852383,0.22498593926462618
Replace,0,x,rx,[3.08945804248914],"(Qubit(QuantumRegister(3, 'q'), 2),)",6.984250984251476,82988,1769705731.7101953,7200.338375091553,585011,7.0,0.01574901574852383,0.22498593926462618
Replace,1,x,ry,[0.049675278320398863],"(Qubit(QuantumRegister(3, 'q'), 1),)",6.984250984251476,28005,1769705011.1161487,7200.338375091553,585011,7.0,0.01574901574852383,0.22498593926462618
Add,1,x,rxx,[-3.0937835343853606],"(Qubit(QuantumRegister(3, 'q'), 0), Qubit(QuantumRegister(3, 'q'), 1))",6.984250984251476,152000,1769706609.128549,7200.338375091553,585011,7.0,0.01574901574852383,0.22498593926462618
Replace,1,x,ryy,[3.0925650909455564],"(Qubit(QuantumRegister(3, 'q'), 1), Qubit(QuantumRegister(3, 'q'), 0))",6.984250984251476,29005,1769705035.8433511,7200.338375091553,585011,7.0,0.01574901574852383,0.22498593926462618
Add,4,,crx,[0.048551894742723256],"(Qubit(QuantumRegister(3, 'q'), 1), Qubit(QuantumRegister(3, 'q'), 0))",6.984250984251476,39999,1769705187.651481,7200.338375091553,585011,7.0,0.01574901574852383,0.22498593926462618
Add,5,,ry,[-0.05201925432938426],"(Qubit(QuantumRegister(3, 'q'), 1),)",6.984250984251476,52994,1769705373.6746602,7200.338375091553,585011,7.0,0.01574901574852383,0.22498593926462618
Replace,0,x,r,"[-0.04836748720166639, -0.024196868159539253]","(Qubit(QuantumRegister(3, 'q'), 1),)",6.984250984251476,111992,1769706093.0503516,7200.338375091553,585011,7.0,0.01574901574852383,0.22498593926462618
Replace,1,x,rx,[3.0933082436441968],"(Qubit(QuantumRegister(3, 'q'), 0),)",6.984250984251476,155002,1769706639.793562,7200.338375091553,585011,7.0,0.01574901574852383,0.22498593926462618
